"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 30, 2017","2.774","2.900","2.900","2.753","664.98K","-5.68%"
"Jul 23, 2017","2.941","2.914","2.998","2.880","318.61K","-0.98%"
"Jul 16, 2017","2.970","2.982","3.114","2.938","685.57K","-0.34%"
"Jul 09, 2017","2.980","2.898","3.053","2.870","872.50K","4.05%"
"Jul 02, 2017","2.864","2.949","3.050","2.832","686.11K","-5.63%"
"Jun 25, 2017","3.035","2.990","3.122","2.974","431.25K","3.62%"
"Jun 18, 2017","2.929","2.966","2.971","2.855","660.93K","-3.56%"
"Jun 11, 2017","3.037","3.032","3.087","2.916","868.38K","-0.07%"
"Jun 04, 2017","3.039","3.026","3.095","2.935","812.17K","1.33%"
"May 28, 2017","2.999","3.250","3.255","2.988","807.23K","-7.32%"
"May 21, 2017","3.236","3.291","3.334","3.145","362.02K","-0.61%"
"May 14, 2017","3.256","3.387","3.408","3.161","789.88K","-4.91%"
"May 07, 2017","3.424","3.243","3.431","3.140","940.29K","4.84%"
"Apr 30, 2017","3.266","3.249","3.313","3.165","650.53K","-0.31%"
"Apr 23, 2017","3.276","3.094","3.298","3.022","400.70K","5.64%"
"Apr 16, 2017","3.101","3.229","3.249","3.082","685.48K","-3.90%"
"Apr 09, 2017","3.227","3.240","3.293","3.132","699.41K","-1.04%"
"Apr 02, 2017","3.261","3.217","3.347","3.121","859.48K","2.23%"
"Mar 26, 2017","3.190","3.119","3.242","3.011","368.86K","3.71%"
"Mar 19, 2017","3.076","2.913","3.113","2.902","647.49K","4.34%"
"Mar 12, 2017","2.948","3.083","3.089","2.882","694.59K","-1.99%"
"Mar 05, 2017","3.008","2.911","3.043","2.815","924.68K","6.40%"
"Feb 26, 2017","2.827","2.715","2.840","2.653","794.56K","7.61%"
"Feb 19, 2017","2.627","2.791","2.826","2.522","342.57K","-7.30%"
"Feb 12, 2017","2.834","2.978","2.994","2.830","697.01K","-6.59%"
"Feb 05, 2017","3.034","3.015","3.189","3.005","811.18K","-0.95%"
